Ensembl_Gene_ID	Gene_Symbol	log2FC_DeSeq	p_DeSeq	padj_DeSeq	log2FC_edge	p_edge	padj_edge
ENSG00000012211	PRICKLE3	0,9542435911	1,30E-17	1,06E-15	0,9224797711	1,10E-15	9,98E-14
ENSG00000121858	TNFSF10	1,6437216039	5,81E-53	1,58E-50	1,6268549998	2,36E-58	9,33E-56
ENSG00000111339	ART4	1,1434652634	3,50E-32	5,51E-30	1,1092601697	4,43E-36	1,00E-33
ENSG00000119917	IFIT3	1,4401124544	1,75E-31	2,69E-29	1,426688259	6,75E-31	1,29E-28
ENSG00000110446	SLC15A3	2,0728334804	2,77E-30	4,04E-28	2,1584288816	1,45E-33	3,05E-31
ENSG00000171608	PIK3CD	1,2534369423	6,93E-58	2,04E-55	1,2125359085	8,36E-40	2,17E-37
ENSG00000143387	CTSK	1,6924749579	9,84E-50	2,34E-47	1,6805693689	1,85E-49	5,96E-47
ENSG00000168961	LGALS9	1,1125855862	4,01E-10	1,90E-08	1,1324240248	3,44E-13	2,59E-11
ENSG00000197951	ZNF71	1,0068366021	1,03E-28	1,42E-26	0,967458386	3,97E-23	5,59E-21
ENSG00000135736	CCDC102A	1,0814559302	2,57E-17	2,05E-15	1,0619472932	9,57E-18	1,02E-15
ENSG00000162654	GBP4	2,4694358942	1,83E-72	6,80E-70	2,502767742	1,02E-97	7,09E-95
ENSG00000164342	TLR3	1,0729883257	4,53E-13	2,74E-11	1,0648394078	1,68E-16	1,62E-14
ENSG00000117226	GBP3	1,1673260082	9,08E-86	4,50E-83	1,1214295893	2,49E-47	7,88E-45
ENSG00000178726	THBD	-1,3366074191	7,87E-18	6,62E-16	-1,4528817816	3,55E-25	5,62E-23
ENSG00000214530	STARD10	1,5686305823	1,45E-35	2,58E-33	1,5633072958	1,11E-38	2,78E-36
ENSG00000138678	AGPAT9	-1,074076914	2,78E-35	4,85E-33	-1,1430936762	5,60E-32	1,12E-29
ENSG00000150048	CLEC1A	1,3181726899	1,70E-82	7,69E-80	1,2751911972	7,72E-55	2,87E-52
