Locus	FPKM(9DPA)	FPKM(Control)	Fold_Change	P-value	LOG_FC
c47254_g1	23,849207024	94,8387837208	0,2514710342	0	-0,5995120321
c52109_g4	1,5120717419	4,6660385437	0,3240589909	2,20E-09	-0,4893759247
c41857_g2	0,4612718856	3,3691947708	0,1369086434	8,22E-08	-0,8635691327
c49927_g1	16,883728727	135,8907446181	0,1242448761	0	-0,9057215127
c55297_g2	2,9799031403	11,4990320327	0,2591438246	3,13E-40	-0,5864591359
c46465_g1	6,7050240097	20,2796949271	0,3306274593	2,69E-36	-0,4806610802
c52183_g3	11,1951774392	45,9473331371	0,243652388	3,09E-163	-0,6132293279
c52008_g4	31,4291903575	122,2714109804	0,2570444727	0	-0,5899917305
c31241_g1	0,2254361506	3,2230301267	0,069945406	2,28E-20	-1,1552408049
c57371_g1	34,8047812075	106,7646512007	0,3259953628	0	-0,4867885776
c57415_g1	1,8957328229	7,2897382543	0,2600549919	1,28E-54	-0,5849348052
c54685_g4	0,8679291799	6,5816828082	0,1318704054	2,45E-57	-0,8798526588
c53280_g1	0,902400894	3,1934414402	0,2825794401	8,88E-06	-0,5488594398
c55549_g2	18,1487781876	64,5664220214	0,281086943	3,23E-244	-0,5511593277
c58036_g3	42,1949390245	136,6495945211	0,3087820288	0	-0,5103479837
c42301_g1	1,3561393436	11,3534028441	0,1194478309	9,46E-34	-0,9228217322
c56281_g1	1,3667315128	4,4883903924	0,304503707	1,46E-19	-0,516407416
c48944_g1	13,6687425236	51,5536512389	0,2651362647	5,57E-124	-0,5765308664
c48953_g1	1,0166135295	4,1601572908	0,2443690126	9,90E-07	-0,6119538659
c58610_g3	5,269950981	17,8495453462	0,2952428691	1,00E-81	-0,5298205829
c53826_g1	14,9604391788	47,2028672305	0,3169392043	1,62E-60	-0,4990240368
c44776_g1	1,6813223758	8,7347776913	0,1924859951	1,53E-57	-0,7156008634
c45641_g1	6,8703650856	28,6607830238	0,2397130979	1,78E-51	-0,6203082356
c44246_g2	0,7007717568	3,0089582293	0,2328951429	8,02E-11	-0,6328395687
c49173_g4	2,4029047062	20,1843250423	0,1190480584	2,95E-128	-0,9242776833
c51294_g1	0,2140339769	3,4084323191	0,0627954311	2,98E-30	-1,2020719536
c52975_g3	1,5159169948	7,8794794182	0,192387963	1,07E-19	-0,7158221036
c58908_g1	7,788972623	34,6089624098	0,2250565195	3,61E-99	-0,6477084018
c53630_g1	0,3557762133	3,8645618518	0,092061203	2,14E-43	-1,0359233541
c40001_g1	0,6888326824	3,0049703326	0,2292311092	3,15E-13	-0,6397264441
c42835_g1	18,1373805074	68,3093794011	0,2655181568	2,63E-139	-0,5759057755
c40443_g1	0,0906889137	3,1323007708	0,0289528115	1,67E-27	-1,5383092574
c58003_g5	2,2904535007	7,1868950204	0,3186986166	2,60E-11	-0,4966198217
c51457_g4	0,9508426598	3,3648685113	0,2825794401	5,41E-10	-0,5488594398
c57496_g2	19,1185057831	156,0262963954	0,1225338691	0	-0,911743853
c40270_g1	5,0402391398	18,5337852913	0,2719487175	4,00E-35	-0,565512985
c43193_g1	1,133551123	7,9937105028	0,1418053759	8,31E-41	-0,8483073044
c44866_g1	3,6784973152	15,343374479	0,2397450001	1,58E-23	-0,6202504414
c43657_g1	1,7422299435	5,9188338169	0,2943535834	2,25E-17	-0,5311306728
c46612_g3	19,6706404085	79,3106547595	0,248020149	7,82E-169	-0,605513036
c58616_g4	2,196405083	16,6136470109	0,1322048724	1,14E-156	-0,8787525387
c43946_g1	2,8038512767	30,8057209189	0,0910172264	7,43E-107	-1,0408764028
c46257_g1	0,408890701	3,4274879501	0,1192974875	6,87E-37	-0,9233687027
c61300_g1	8,4050495536	28,330014586	0,296683559	2,19E-123	-0,5277065199
c56844_g3	1,1359378009	3,9362746786	0,2885819445	2,17E-18	-0,5397308446
c41315_g1	1,9977386698	15,8623290701	0,1259423292	1,09E-62	-0,899828279
c57508_g1	5,7402723537	19,2401045054	0,2983493334	4,03E-19	-0,5252749282
c48995_g1	1,955351738	9,2650514962	0,2110459655	2,84E-13	-0,6756229458
c52101_g7	1,1042355978	3,6844025898	0,2997054667	6,65E-06	-0,5233053353
c39872_g1	1,9294411903	6,1027838015	0,3161575525	1,43E-17	-0,5000964391
c62099_g1	13,1161202265	41,1199418155	0,3189722467	0	-0,4962471026
c49967_g3	1,3095678373	3,9484535647	0,3316660095	1,65E-06	-0,4792990345
c44859_g1	9,5394951652	29,6075700793	0,3221978413	4,51E-66	-0,4918773737
c60666_g2	2,1062565988	7,4369297267	0,2832158802	8,88E-33	-0,5478823989
c51404_g1	5,0733270406	27,3210861893	0,1856927285	4,00E-213	-0,7312051023
c44083_g1	5,2527968851	23,6753003768	0,2218682256	3,36E-101	-0,6539048899
c61950_g2	22,6953611715	100,9999695299	0,224706614	0	-0,6483841443
c53812_g3	4,0638637006	13,508517156	0,3008371425	2,58E-55	-0,5216685451
c49832_g3	6,0044120208	19,7950042713	0,3033296653	5,86E-76	-0,5180851141
c48740_g1	2,886469078	12,3484581743	0,233751375	5,35E-57	-0,6312458257
c19574_g1	1,3611663785	4,151320893	0,3278875359	3,77E-07	-0,484275092
c41428_g1	5,1355197862	20,205449346	0,2541650868	1,06E-52	-0,5948841063
c44002_g1	0,7374153401	5,1946111164	0,1419577565	1,03E-21	-0,8478408728
c49571_g4	19,6608586475	114,5447171214	0,1716435218	0	-0,7653725832
c50916_g2	8,5524650007	31,1810544882	0,2742840209	5,55E-94	-0,5617994926
c50434_g1	45,7790298927	146,7337763218	0,3119869947	0	-0,5058635094
